#Log of APF observations
# Filename, Tobj, Obj, Thorium1, Thorium2, Halogen1, Halogen2, Date, RA, Dec, Md5, Filesize
gs://apf_test/ucb-anr237.fits HIP36850 HIP36850 Off Off Off Off 2016-01-28T05:24:25.44  7:34:35.5  31:53:15.0 1aaad4b84c0241cb4b3dd72f4b61c8a7 19189440
gs://apf_test/ranr.241.fits HIP37826 HIP37826 Off Off Off Off 2016-01-28T05:33:03.18  7:45:18.1  28:01:33.0 68579bdca5fe429851db1e19a8fa17ac 1477440
gs://apf_test/ucb-anr241.fits HIP37826 HIP37826 Off Off Off Off 2016-01-28T05:33:03.18  7:45:18.1  28:01:33.0 5eabc91d43a1373c0249432fe11d05bd 19189440
gs://apf_test/ranr.262.fits HIP49669 HIP49669 Off Off Off Off 2016-01-28T07:05:04.14 10:08:22.0  11:58:02.0 dc358f8c6d0e2fadaeb3c856d088e37e 1477440
gs://apf_test/ucb-anr262.fits HIP49669 HIP49669 Off Off Off Off 2016-01-28T07:05:04.14 10:08:22.0  11:58:02.0 d10c192631316c713a05fa3b6dc64d42 19189440
gs://apf_test/ranr.263.fits HIP50583 HIP50583 Off Off Off Off 2016-01-28T07:06:03.61 10:19:58.7  19:50:26.0 875137d850d11deb37d2d1cae2d9ea82 1477440
gs://apf_test/ucb-anr263.fits HIP50583 HIP50583 Off Off Off Off 2016-01-28T07:06:03.61 10:19:58.7  19:50:26.0 633340bbc05133c8f8fbcba859716995 19189440
gs://apf_test/ranr.271.fits HIP53910 HIP53910 Off Off Off Off 2016-01-28T07:16:40.29 11:01:50.6  56:22:57.0 3310ce02a2752645a37a5748bead5aaa 1477440
gs://apf_test/ucb-anr271.fits HIP53910 HIP53910 Off Off Off Off 2016-01-28T07:16:40.29 11:01:50.6  56:22:57.0 a870797e5767df0f6cec38f7db0522c6 19189440
gs://apf_test/ranr.272.fits HIP54061 HIP54061 Off Off Off Off 2016-01-28T07:17:37.87 11:03:43.3  61:45:03.0 4edcbe1bdbfacd50985a2daff77f09b4 1477440
gs://apf_test/ucb-anr272.fits HIP54061 HIP54061 Off Off Off Off 2016-01-28T07:17:37.87 11:03:43.3  61:45:03.0 22e0e1f041b20269d87ca9cfd8a901c4 19189440
gs://apf_test/ranr.288.fits HIP57632 HIP57632 Off Off Off Off 2016-01-28T09:53:38.39 11:49:03.0  14:34:17.0 8621af2db33d70bd65963920813abfd3 1477440
gs://apf_test/ucb-anr288.fits HIP57632 HIP57632 Off Off Off Off 2016-01-28T09:53:38.39 11:49:03.0  14:34:17.0 47a178ee7cd70289f280e50f19e608db 19189440
gs://apf_test/ranr.293.fits HIP62956 HIP62956 Off Off Off Off 2016-01-28T10:08:22.68 12:54:01.9  55:57:35.0 8611602e85008309524f33a345ee387a 1477440
gs://apf_test/ucb-anr293.fits HIP62956 HIP62956 Off Off Off Off 2016-01-28T10:08:22.68 12:54:01.9  55:57:35.0 f3c6478b54d73b2c5445d70ca991c978 19189440
gs://apf_test/ranr.295.fits HIP56445 HIP56445 Off Off Off Off 2016-01-28T10:19:37.80 11:34:21.9   3:03:36.6 2e83c462ccf16a2cdc10db04f1402aaf 1477440
gs://apf_test/ucb-anr295.fits HIP56445 HIP56445 Off Off Off Off 2016-01-28T10:19:37.80 11:34:21.9   3:03:36.6 299643dd07161c15d7d7f1ab3b811176 19189440
gs://apf_test/ranr.296.fits HIP65378 HIP65378 Off Off Off Off 2016-01-28T10:21:15.38 13:23:55.7  54:55:30.0 d1249445ba85ab8e3808e1cf67591d31 1477440
gs://apf_test/ucb-anr296.fits HIP65378 HIP65378 Off Off Off Off 2016-01-28T10:21:15.38 13:23:55.7  54:55:30.0 3f8c086fb509068f7ef13bd0bf32e548 19189440
gs://apf_test/ranr.310.fits HIP74689 HIP74689 Off Off Off Off 2016-01-28T11:14:50.98 15:15:49.1   0:22:19.6 0d6b1fa6730904f6e194c7bb5a2d0820 1477440
gs://apf_test/ucb-anr310.fits HIP74689 HIP74689 Off Off Off Off 2016-01-28T11:14:50.98 15:15:49.1   0:22:19.6 50760d4515c135a5068beab23a70361e 19189440
gs://apf_test/ranu.193.fits HIP8903 HIP8903 Off Off Off Off 2016-02-06T02:48:03.47  1:54:38.5  20:48:27.0 b26f94e4fe3608a7ecc2947a2160d395 1477440
gs://apf_test/ucb-anu193.fits HIP8903 HIP8903 Off Off Off Off 2016-02-06T02:48:03.47  1:54:38.5  20:48:27.0 3cb33e12c0ae32f03df890c944539761 19189440
